numberID,name,description,type,manufacture,status,comment,price,quantity,packageQuantity,seller,link,selfHash,parentHash
,Name,Description,,,Not Designed,,0,1,,,,0,
#MEH-001,M3x50mm Screw,Cross slot,Hardware,Off the Shelf,Designed,-,0,1,1,Longhin,-,19432,38816
#MEH-002,M3 washer,"1 mm thickness, 8 mm OD",Hardware,Off the Shelf,Designed,-,0,1,1,Longhin,-,18268886,0
#MEH-003,M3 nut,5.5 mm smaller distance,Hardware,Off the Shelf,Not Designed,-,0,1,1,Brico,-,79147264,0
#MEH-004,M8x20mm Bolt,Hex Bolt,Hardware,Off the Shelf,Designed,-,0,1,1,Bricoman,-,37974943,0
#MEH-005,M8x40mm Bolt,Hex Bolt,Hardware,Off the Shelf,Designed,-,0,1,1,Bricoman,-,85181490,0
#MEH-006,M3x15mm Screw,Allen key slot,Hardware,Off the Shelf,Designed,-,0,1,1,Longhin,-,69518796,0
#MEH-008,M8 Wood Threaded Insert ,"Threaded insert for wood sheets, OD 26mm",Hardware,Off the Shelf,Not Designed,-,0,1,1,Longhin,-,61470108,0
#MEH-009,608ZZ Ball Bearing,"22mm OD, 8mm ID, 7mm width",Hardware,Off the Shelf,Designed,-,0,1,10,Amazon,-,88637,7560
#MEH-00A,M8 washer,"1.5mm thickness, 16mm OD",Hardware,Off the Shelf,Designed,-,0,1,1,Bricoman,-,43149878,0
#EMH-001,NEMA17 Stepper Motor,5mm shaft,Hardware,Off the Shelf,Designed,-,0,1,,Amazon,-,45337748,0
#MEH-00B,GT2 Pulley,"Aluminum pulley, 20 teeth",Hardware,Off the Shelf,Designed,-,0,1,5,Amazon,-,98656339,0
#MEH-00C,M8 Nylock Nut,Self locking nut,Hardware,Off the Shelf,Designed,-,0,1,1,Bricoman,-,8620,1049
#MEH-00D,M8x60mm Bolt,Hex Bolt,Hardware,Off the Shelf,Designed,-,0,1,1,Bricoman,-,41597008,0
#MEH-00E,M3x10mm Screw,"Allen key screw, fully threaded",Hardware,Off the Shelf,Designed,-,0,1,1,Longhin,-,48339223,0
#ELH-001,Endstop Switch,"3 terminals, NO, NC, COM",Hardware,Off the Shelf,Designed,-,0,1,,Amazon,-,55236866,0
#MEH-00F,Spring Coupler 5mm to 8mm,"5mm, 8mm, aluminum spring coupler",Hardware,Off the Shelf,Designed,-,0,1,1,Amazon,-,18726578,0
#MEH-00H,T8 Brass Nut,"T8 brass nut, 20mm OD",Hardware,Off the Shelf,Designed,-,0,1,1,Amazon,-,84558139,0
#EMH-002,Makita Router,Makita router tool,Hardware,Off the Shelf,Designed,-,0,1,,Amazon,-,17660322,0
#MEH-00I,M8x30mm Bolt,Hex Bolt,Hardware,Off the Shelf,Not Designed,-,0,1,1,Bricoman,-,24285398,0
#MEH-00J,M8x80mm Bolt,"Hex Bolt, fully threaded",Hardware,Off the Shelf,Designed,-,0,1,1,Bricoman,-,7314131,0
#MMH-001,20mm aluminum pipe,"Default length 1M, OD 20mm, ID 16mm",Hardware,Cut to Length,Not Designed,-,0,1,,Leroy merlin,-,87623796,0
#MMH-002,MDF board 18mm thickness,"Custom dimensions, 18mm thickness",Hardware,Cut to Length,Not Designed,-,0,1,,Brico,-,88092985,0
#MEH-007,M3 threaded insert,"Helical grooves, 5.7mm heigth",Hardware,Off the Shelf,Not Designed,-,0,1,50,Amazon,-,96577,1049
#MMH-003,GT2 timing belt,"6mm width, GT2 rubber timing belt",Hardware,Cut to Length,Not Designed,-,0,1,,Amazon,-,60926449,0
#MEH-00K,M3 threaded insert,"Vertical grooves, 3mm heigth.",Hardware,Off the Shelf,Not Designed,-,0,1,50,Amazon,-,55917940,0
#MEH-00L,M3x40mm Screw,"Cross slot, fully threaded",Hardware,Off the Shelf,Not Designed,-,0,1,1,Longhin,-,22094627,0
#MMH-004,T8 screw,T8 thread screw,Hardware,Cut to Length,Designed,-,0,1,,Amazon,-,47909261,0
